School Name,Address,City,State,Zip Code,Phone,Fax
Alamosa Park Elementary School,5130 Alamosa Park Drive,Oceanside,CA,92057,760-940-0700,760-940-0737
Breeze Hill Elementary School,1111 Melrose Way,Vista,CA,92081,760-945-2373,760-945-5739
Empresa Elementary School,4850 Avenida Empresa,Oceanside,CA,92056,760-940-8454,760-726-2172
Hannalei Elementary School,120 Hannalei Drive,Vista,CA,92083,760-631-6248,760-631-6249
Mission Meadows Elementary School,5657 Spur Avenue,Oceanside,CA,92057,760-630-7884,760-630-7885
Vista Academy of Visual & Performing Arts,600 N. Santa Fe Avenue,Vista,CA,92083,760-941-0880,760-941-0881
Beaumont Elementary School,550 Beaumont Drive,Vista,CA,92084,760-726-4040,760-726-4041
California Avenue School,215 W. California Avenue,Vista,CA,92083,760-630-4870,760-630-4871
Foothill-Oak Elementary School,1370 Oak Drive,Vista,CA,92084,760-631-3458,760-631-3459
Lake Elementary School,4950 Lake Boulevard,Oceanside,CA,92056,760-945-5300,760-945-5328
Monte Vista Elementary School,1720 Monte Vista Road,Vista,CA,92084,760-726-0410,760-726-0411
Vista Visions Academy (Independent Study),1575 Bonair Rd.,Vista,CA,92084,760-724-3775,760-758-1428
